编码,药店名,所在区县,地址
31200008,仁和药房网（北京）医药科技有限公司第三十五药房,经济技术开发区,北京经济技术开发区天宝园五里二区天宝商业中心B16号
31200007,北京源通百姓平安大药房有限公司仁信达分公司,经济技术开发区,北京经济技术开发区经海七路100号院10号楼8号底商
31200006,北京壹壹壹商业连锁有限公司经海路分店,经济技术开发区,北京市北京经济技术开发区科创十三街18号院2号楼1层106室
31200005,北京源通百姓平安大药房有限公司第四分公司,经济技术开发区,北京市北京经济技术开发区文化园西路8号院27号楼106
31200004,北京源通百姓平安大药房有限公司第一分公司,经济技术开发区,北京市北京经济技术开发区天华园二里二区11号楼A-102室
31200003,北京源通百姓平安大药房有限公司,经济技术开发区,北京市北京经济技术开发区天华园一里三区14号楼8号商铺
31200001,北京同仁堂连锁药店有限责任公司经济技术开发区药店,经济技术开发区,北京经济技术开发区天华园二里二区19号楼01层F1A7
29200022,北京延民康医药有限公司十三分店,延庆区,北京市延庆区八达岭镇里炮社区七号楼五单元502室
29200021,北京明和堂医药有限公司第十三分店,延庆区,北京市延庆区八达岭镇商业街(卫生院东侧)
29200020,北京百信仁康大药房有限公司七分店,延庆区,北京市延庆区延庆镇孟庄村平安西街西一巷6号
29200019,北京百信仁康大药房有限公司二分店,延庆区,北京市延庆区延庆镇石河营村南50米
29200018,北京明和堂医药有限公司延庆分店,延庆区,北京市延庆区延庆镇东外大街61号良友商服综合楼一层
29200017,北京明和堂医药有限公司第十分店,延庆区,北京市延庆区张山营镇上芦凤营村南（老派出所院内）
29200016,北京明和堂医药有限公司第五分店,延庆区,北京市延庆区延庆镇东外大街68号
29200015,北京明和堂医药有限公司第十二分店,延庆区,北京市延庆区井庄镇政府南200米
29200013,北京明和堂医药有限公司第一分店,延庆区,北京市延庆区沈家营镇冯庄村（镇政府对面）
29200012,北京市祝生堂医药有限公司,延庆区,北京市延庆区延庆镇东外大街2号
29200011,北京市祝生堂医药有限公司悦康药店,延庆区,北京市延庆区延庆镇东顺城街26号一层
29200010,北京市祝生堂医药有限公司丰康药店,延庆区,北京市延庆区延庆镇妫水北街39号1幢F座一层505-08、09号
29200005,北京百信仁康大药房有限公司一分店,延庆区,北京市延庆区永宁镇太平街小后街7号
29200004,北京明和堂医药有限公司第九分店,延庆区,北京市延庆区永宁镇和平街南街18号
29200003,北京明和堂医药有限公司第三分店,延庆区,北京市延庆区延庆镇颍泽州小区25号楼1层102室
29200002,北京明和堂医药有限公司第四分店,延庆区,北京市延庆区康庄镇兴隆南街1号
29200001,北京延民康医药有限公司十分店,延庆区,北京市延庆区延庆镇东外大街99号一层
28200031,北京闵邦韩医药销售有限公司鼓楼大街店,密云区,北京市密云区长安小区1号楼1-4
28200030,北京正济堂药品连锁超市有限责任公司密云二店,密云区,北京市密云区檀营街檀府家园佳2号2-1、2-2
28200029,北京同仁堂京北企业管理有限公司密云药店,密云区,北京市密云区农机路1号院2号楼一层
28200028,北京太宁康医药有限公司二分店,密云区,北京市密云区河南寨镇荆栗园村209号
28200027,北京太宁康医药有限公司,密云区,北京市密云区新中街179号楼1号门脸房
28200026,北京康乐同济大药房有限公司沙河店,密云区,北京市密云区车站路14号北京兰华公寓21号
28200025,北京慧源堂药品有限公司第三分店,密云区,北京市密云区巨各庄镇八家庄村南侧300米
28200024,北京和谐春天医药有限公司十四分店,密云区,北京市密云区溪翁庄镇溪翁庄村85号
28200023,北京和谐春天医药有限公司十三分店,密云区,北京市密云区十里堡镇双井村北（24084）1幢1至2层
28200022,北京和谐春天医药有限公司润千家店,密云区,北京市密云区巨各庄镇蔡家洼小区11号楼2单元102室
28200021,北京和谐春天医药有限公司八分店,密云区,北京市密云区阳光街391号院3号楼3-8号
28200020,北京扶生医药连锁经营有限公司太师屯药店,密云区,北京市密云区太师屯镇正阳小区1号楼1层3单元101
28200019,北京百信仁康大药房有限公司行宫店,密云区,北京市密云区行宫街118号一层
28200018,北京慧源堂药品有限公司第九分店,密云区,北京市密云区穆家峪镇羊山村大集院内
28200017,北京和谐春天医药有限公司六分店,密云区,北京市密云区密西花园小区48号楼1层48-3
28200015,北京太宁康医药有限公司一分店,密云区,北京市密云区南河路4号院金融商业城6-1-102号
28200012,北京百草扶生大药房有限责任公司,密云区,北京市密云区新中街世纪家园小区C楼E室
28200005,北京和谐春天医药有限公司,密云区,北京市密云区季庄小区53号楼三段12号
28200003,北京天赐福康堂药店有限公司,密云区,北京市密云区花园小区1号楼10号一层
28200002,北京市密云区医药药材公司沿湖扶生药店,密云区,北京市密云区沿湖小区综合楼一层
28200001,北京扶生医药连锁经营有限公司鼓楼药店,密云区,北京市密云区鼓楼南大街医药药材公司一层
27200027,北京同仁堂京北企业管理有限公司怀柔药店,怀柔区,北京市怀柔区青春路富乐小区南里28号楼
27200026,北京怀柔燕北医药有限公司乐康堂医保全新大药房,怀柔区,北京市怀柔区潘家园19号楼4号门面房
27200025,北京海龙堂医药连锁有限公司,怀柔区,北京市怀柔区怀柔镇大中富乐村337号
27200024,北京盛民堂医药销售有限公司,怀柔区,北京市怀柔区南大街6号楼9号门店
27200022,北京怀柔燕北医药有限公司乐益堂医保全新大药房,怀柔区,北京市怀柔区迎宾北路2号楼3单元
27200021,北京怀柔燕北医药有限公司乐盈堂医保全新大药房,怀柔区,北京市怀柔区杨宋镇杨宋庄村十字街东100米
27200020,北京怀柔燕北医药有限公司乐兴堂医保全新大药房,怀柔区,北京市怀柔区怀柔镇南大街25号楼2-102
27200018,北京富乐民康大药房有限公司,怀柔区,北京市怀柔区怀柔镇大中富乐村282号
27200010,北京德威治医药连锁有限责任公司肖两河大药房,怀柔区,北京市怀柔区庙城镇肖两河村西100米
27200009,北京德威治医药连锁有限责任公司南华园迎宾大药房,怀柔区,北京市怀柔区南华园一区63号 
27200006,北京好药师大药房连锁有限公司怀柔青春路店,怀柔区,北京市怀柔区湖光小区33号院梅苑8号楼4号
27200002,北京怀柔燕北医药有限公司华峰医保全新大药房,怀柔区,北京市怀柔区商业街15号
26200052,北京闵邦韩医药销售有限公司杏园店,平谷区,北京市平谷区王辛庄镇东杏园村乐园路4号
26200051,北京闵邦韩医药销售有限公司夏各庄康源店,平谷区,北京市平谷区夏各庄镇南太务大街北九巷44号
26200050,北京闵邦韩医药销售有限公司西寺渠店,平谷区,北京市平谷区平谷镇西寺渠东路13号
26200049,北京闵邦韩医药销售有限公司王辛庄店,平谷区,北京市平谷区王辛庄镇小辛寨村东大街14号
26200048,北京闵邦韩医药销售有限公司平谷南街店,平谷区,北京市平谷区平谷镇平谷南街39号楼39-19
26200047,北京闵邦韩医药销售有限公司马昌营店,平谷区,北京市平谷区马昌营镇马昌营村古槐路33号
26200046,北京闵邦韩医药销售有限公司金海湖店,平谷区,北京市平谷区金海湖镇胡庄村东环路16号
26200045,北京闵邦韩医药销售有限公司第二分公司,平谷区,北京市平谷区平谷镇光明居民西小区甲268排2号
26200044,北京万家瑞大药房连锁有限公司康平店,平谷区,北京市平谷区平谷镇新平北路63号院1号楼4单元2号（商业楼）
26200043,北京万家瑞大药房连锁有限公司贾各庄店,平谷区,北京市平谷区王辛庄镇贾各庄村南街2号-3
26200042,北京万家瑞大药房连锁有限公司,平谷区,北京市平谷区平谷镇西寺渠村底商楼一层（西侧第一家）
26200041,北京同仁堂京北企业管理有限公司平谷药店,平谷区,北京市平谷区王辛庄镇齐各庄村南腾龙源城小区四号楼103-106
26200040,北京久久仁康医药有限公司,平谷区,北京市平谷区平谷镇金乡路金乡嘉园3-2号
26200039,北京嘉事堂龙翔连锁药店有限公司上宅药店,平谷区,北京市平谷区金海湖镇上宅南街甲15号
26200038,北京嘉事堂龙翔连锁药店有限公司马各庄村药店,平谷区,北京市平谷区夏各庄镇马各庄南街82号
26200037,北京嘉事堂龙翔连锁药店有限公司嘉事堂雅芝佳药店,平谷区,北京市平谷区峪口镇峪口村峪阳路19-5号
26200036,北京嘉事堂龙翔连锁药店有限公司嘉事堂上纸寨药店,平谷区,北京市平谷区兴谷开发区中罗庄西路171号
26200035,北京嘉事堂龙翔连锁药店有限公司嘉事堂南定福药店,平谷区,北京市平谷区马昌营镇南定福东区33号
26200034,北京嘉事堂龙翔连锁药店有限公司嘉事堂马昌营药店,平谷区,北京市平谷区马昌营镇马昌营村
